Ano,1,2,3,4,5,6,7,8,9,10,11,12
1992,4560,8418,14744,12411,16361,15816,7969,10792,8581,8323,8909,10237
1993,5404,7756,14671,13725,13598,7488,12576,4934,8921,10406,4274,12015
1994,10485,9213,9173,15026,8379,10187,9550,9550,7074,10858,8082,19422
1995,2185,8654,13540,10911,20176,9075,17400,15794,15572,10374,11079,11757
1996,8661,16980,13412,19989,11663,9584,15713,9782,15179,12765,5987,9660
1997,3732,8513,18503,14555,12893,16488,14891,13524,13803,12843,7884,16555
1998,3336,7335,11031,12983,10399,14497,11861,11203,11074,11116,11799,11880
1999,2825,12685,13440,14195,16145,7392,17887,14035,11773,12295,8693,8486
2000,1004,11308,15335,12300,11585,13219,8153,10665,7058,10536,6102,12427
2001,1646,14279,17026,12960,12669,15793,14396,9784,15013,11221,7389,15784
2002,8505,11665,12943,13612,17644,15366,12847,13530,11736,17423,14058,14719
2003,1089,19378,16109,17122,21683,16162,19061,16782,14214,14539,11633,15427
2004,2746,14560,8579,10969,12350,13624,13082,11474,9746,12733,17483,1568
2005,1181,8834,16723,15368,17305,7747,15204,14792,14849,9756,14246,2155
2006,267,4401,14702,5629,11854,12357,9537,13247,7259,6893,13785,75
2007,465,3610,14177,6940,13327,9192,7750,9254,14629,3744,11427,3238
2008,0,2889,16277,12234,10886,14711,12291,10416,13995,8117,7713,12251
2009,0,5813,20182,10106,10512,12986,8397,6949,16543,8017,16343,3476
2010,0,6591,16275,12561,11899,13722,12026,9300,11965,7764,16172,2213
2011,0,4572,14247,11887,10515,15797,12535,17128,15185,6522,16387,16445
2012,0,2950,16534,12607,14488,12195,11414,15968,13620,8954,12501,3931
2013,0,4168,16503,18113,15286,14132,14981,11317,13014,12441,13135,5270
2014,0,2913,21425,15985,14943,16252,16315,8299,14138,6028,17144,4895
